Vehicle_Model,Mileage,Maintenance_History,Reported_Issues,Vehicle_Age,Fuel_Type,Transmission_Type,Engine_Size,Odometer_Reading,Last_Service_Date,Service_History,Fuel_Efficiency,Tire_Condition,Brake_Condition,Battery_Status,Need_Maintenance,timestamp,vehicle_id,Tire Pressure (PSI),mileage_per_year,Type,Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,Air temperature [C],Process temperature [C],Failure
2,58765,1,0,4,1,0,2000,28524,2023-11-23,6,13.622203799218738,1,1,2,1,2025-01-01,0,113.61985334774798,11753.0,2,1.551,4.279999999999999,0,0,24.950000000000045,35.450000000000045,0
3,60353,0,1,7,0,0,2500,133630,2023-09-21,7,13.625306851087116,1,1,2,1,2025-01-02,1,40.386121737770885,7544.125,1,1.408,4.63,3,0,25.05000000000001,35.55000000000001,0
0,68072,2,0,2,1,0,1500,34022,2023-06-27,7,14.306302358933324,1,0,2,1,2025-01-03,2,98.49205254597052,22690.666666666668,1,1.498,4.9399999999999995,5,0,24.950000000000045,35.35000000000002,0
0,60849,0,4,5,1,0,2500,81636,2023-08-24,7,18.70946666159111,1,2,1,1,2025-01-04,3,81.68709040396179,10141.5,1,1.433,3.95,7,0,25.05000000000001,35.450000000000045,0
0,45742,2,5,1,1,1,2000,97162,2023-05-25,6,16.977482496741302,0,0,2,1,2025-01-05,4,72.72802034459981,22871.0,1,1.408,4.0,9,0,25.05000000000001,35.55000000000001,0
2,31653,0,2,1,1,0,800,70954,2023-08-12,5,15.954422058940413,2,0,1,0,2025-01-06,5,106.72313308233974,15826.5,2,1.425,4.1899999999999995,11,0,24.950000000000045,35.450000000000045,0
3,79093,2,2,2,1,0,2000,132354,2023-05-12,3,12.128403743453015,0,1,1,1,2025-01-08,6,44.68197364479681,26364.33333333333,1,1.558,4.24,14,0,24.950000000000045,35.450000000000045,0
0,37001,1,2,9,1,0,1500,8554,2023-08-05,9,12.78724817721793,2,1,1,0,2025-01-10,7,64.54549218713866,3700.1,1,1.527,4.0200000000000005,16,0,24.950000000000045,35.450000000000045,0
0,49494,0,5,10,1,0,1000,51817,2023-11-08,5,15.544371498504372,1,1,1,1,2025-01-11,8,77.81687621433684,4499.454545454545,2,1.667,2.8600000000000003,18,0,25.150000000000034,35.55000000000001,0
1,71128,2,3,4,1,0,1000,35751,2023-07-03,6,16.38821978073295,2,1,2,1,2025-01-12,9,33.09065267774874,14225.6,2,1.741,2.8,21,0,25.350000000000023,35.85000000000002,0
0,61711,2,4,8,1,0,2000,118508,2024-02-19,10,13.925943354074256,2,1,2,1,2025-01-13,10,65.49448403232745,6856.777777777777,0,1.782,2.3899999999999997,24,0,25.25,35.75,0
1,37517,1,4,3,1,1,2500,64195,2023-04-11,3,11.613510563693447,1,1,0,1,2025-01-14,11,33.09065267774874,9379.25,0,1.423,4.43,29,0,25.450000000000045,35.950000000000045,0
1,51152,2,5,6,0,1,2500,36403,2023-05-07,8,16.33998023040846,2,0,1,1,2025-01-15,12,33.09065267774874,7307.428571428572,2,1.339,5.11,34,0,25.450000000000045,35.950000000000045,0
0,64440,2,0,7,1,1,800,6493,2023-11-24,7,13.736122939922982,2,0,1,0,2025-01-17,13,86.96071680439793,8055.0,2,1.742,3.0,37,0,25.450000000000045,36.05000000000001,0
