Battery_Health_Score,Reported_Issues,Brake_Condition_Worn Out,Battery_Failure,Tire_Health_Score,engine_stress,Battery_Status_Weak,Need_Maintenance
0.3,0,False,1,0.4,5362893.9,True,1
0.0,1,False,1,-0.35,3766630.73,True,1
0.5,0,False,1,0.13,5998504.640000001,True,1
0.2,4,True,0,0.06,5841504.0,False,1
0.6,5,False,1,0.16,3744897.54,True,1
0.9,2,False,0,0.67,3460622.4899999998,False,0
0.5,2,False,0,-0.54,6645393.859999999,False,1
0.1,2,False,0,0.18,4053829.56,False,0
-0.3,5,False,0,0.16,5626477.92,False,1
0.3,3,False,1,-0.56,5396481.36,True,1
-0.1,4,False,1,-0.12,5813176.2,True,1
0.4,4,False,0,-0.14,3647027.57,False,1
0.1,5,False,0,-0.31,5283490.08,False,1
0.3,0,False,0,0.06,6545815.2,False,0
0.4,3,False,0,0.08,4866223.74,False,1
0.0,1,True,0,0.4,3866204.1599999997,False,1
0.3,1,False,0,0.03,8427626.24,False,0
0.5,0,True,1,-0.09,2512289.4,True,1
0.0,5,False,0,-0.29,3528962.48,False,1
0.2,4,False,0,0.34,2656100.87,False,1
-0.1,4,True,1,0.14,5064351.96,True,1
-0.3,2,False,0,0.29,4558338.52,False,1
0.1,1,False,0,0.45,3346132.34,False,0
0.1,1,False,0,0.6,2789419.52,False,0
0.4,3,True,0,0.05,6278092.86,False,1
0.6,3,False,1,0.42,4468250.48,True,1
0.8,2,False,0,-0.58,5922543.12,False,0
0.5,2,True,0,0.33,6075147.8100000005,False,1
-0.3,3,False,0,-0.25,4224254.86,False,1
0.0,1,False,0,-0.1,4976888.4399999995,False,0
-0.3,4,False,0,-0.07,4791718.649999999,False,1
0.6,1,False,0,-0.3,3724871.36,False,1
-0.1,5,False,1,0.25,5016468.36,True,1
0.0,5,True,1,-0.01,2593284.61,True,1
0.3,5,False,0,-0.23,3565025.0999999996,False,1
0.6,3,False,1,-0.56,6905362.74,True,1
0.6,4,False,0,-0.61,7487262.97,False,1
0.1,5,True,1,-0.07,6556632.720000001,True,1
0.2,4,False,0,0.36,5753929.600000001,False,1
0.3,5,False,1,0.27,7731668.0,True,1
0.3,2,False,0,-0.31,3913158.4799999995,False,1
0.4,5,False,0,-0.27,3666152.88,False,1
0.0,4,False,0,-0.41,6051851.84,False,1
0.1,4,True,0,-0.14,3047001.3600000003,False,1
0.4,3,False,0,0.66,2719437.32,False,1
0.1,3,False,0,-0.35,4495140.74,False,0
-0.1,3,True,1,-0.07,5137796.05,True,1
0.3,2,True,0,-0.12,3744651.57,False,1
0.4,4,False,0,-0.12,2381198.98,False,1
0.4,0,False,1,-0.09,2468106.24,True,1
-0.3,2,False,1,-0.44,5207516.93,True,1
0.5,5,False,0,-0.05,7945247.1899999995,False,1
0.1,1,False,0,0.07,4206027.15,False,1
-0.3,3,True,0,0.04,2321295.36,False,1
-0.2,2,True,0,0.7,3416553.27,False,1
0.1,5,True,0,0.65,3924933.44,False,1
0.2,0,True,0,-0.63,7852800.7,False,1
-0.3,4,False,0,-0.56,7115794.8,False,1
-0.2,5,True,0,-0.24,4158521.76,False,1
0.6,0,False,0,-0.65,5380779.2,False,0
-0.1,5,False,0,-0.23,4433545.57,False,1
0.0,0,True,1,-0.32,4913396.760000001,True,1
0.5,0,False,0,-0.29,4695422.65,False,0
0.0,0,False,1,-0.32,3786621.35,True,1
0.2,3,True,0,-0.05,6318919.5,False,1
0.3,5,True,0,-0.36,5196450.0,False,1
-0.2,1,False,0,-0.24,4064362.5,False,1
-0.2,5,False,0,0.14,4627243.029999999,False,1
-0.3,0,False,1,0.09,6635483.25,True,1
0.3,3,False,0,0.39,4777857.24,False,1
0.2,4,False,1,-0.42,5195800.0,True,1
-0.1,4,True,0,-0.34,5414999.9399999995,False,1
0.1,2,True,1,-0.29,5014854.0,True,1
0.0,2,False,0,-0.3,3649438.4699999997,False,0
-0.2,4,False,1,-0.44,5496634.53,True,1
0.9,0,False,0,-0.38,3806066.88,False,0
0.6,4,False,0,-0.14,6011634.78,False,1
0.5,4,True,0,-0.07,5627819.680000001,False,1
0.1,0,False,0,-0.18,2815593.69,False,0
-0.1,5,False,0,0.65,2892082.92,False,1
0.7,1,False,0,0.38,4735075.95,False,0
0.4,5,False,0,-0.36,3958471.98,False,1
